nama_variabel,nama_wilayah,tahun,jenis_kelamin,tipe_daerah,presentase
Keluhan Kesehatan Masyarakat,Gorontalo,2017,perempuan,perdesaan,34.45927673
Keluhan Kesehatan Masyarakat,Sulawesi Barat,2017,perempuan,perdesaan,26.86393886
Keluhan Kesehatan Masyarakat,Maluku,2017,perempuan,perdesaan,19.57637613
Keluhan Kesehatan Masyarakat,Maluku Utara,2017,perempuan,perdesaan,17.59630863
Keluhan Kesehatan Masyarakat,Papua Barat,2017,perempuan,perdesaan,22.18748624
Keluhan Kesehatan Masyarakat,Papua,2017,perempuan,perdesaan,14.10179374
Keluhan Kesehatan Masyarakat,INDONESIA,2017,perempuan,perdesaan,29.786641
Keluhan Kesehatan Masyarakat,Aceh,2017,perempuan,gabungan,26.67582112
Keluhan Kesehatan Masyarakat,Sumatera Utara,2017,perempuan,gabungan,24.61743968
Keluhan Kesehatan Masyarakat,Sumatera Barat,2017,perempuan,gabungan,30.26790182
Keluhan Kesehatan Masyarakat,Riau,2017,perempuan,gabungan,28.86026177
Keluhan Kesehatan Masyarakat,Jambi,2017,perempuan,gabungan,20.83896412
Keluhan Kesehatan Masyarakat,Sumatera Selatan,2017,perempuan,gabungan,27.58606096
Keluhan Kesehatan Masyarakat,Bengkulu,2017,perempuan,gabungan,26.21045261
Keluhan Kesehatan Masyarakat,Lampung,2017,perempuan,gabungan,29.64103772
Keluhan Kesehatan Masyarakat,Kepulauan Bangka Belitung,2017,perempuan,gabungan,29.5207126
Keluhan Kesehatan Masyarakat,Kepulauan Riau,2017,perempuan,gabungan,22.60764501
Keluhan Kesehatan Masyarakat,DKI Jakarta,2017,perempuan,gabungan,27.43708401
Keluhan Kesehatan Masyarakat,Jawa Barat,2017,perempuan,gabungan,30.24381704
Keluhan Kesehatan Masyarakat,Jawa Tengah,2017,perempuan,gabungan,34.1103097
Keluhan Kesehatan Masyarakat,DI Yogyakarta,2017,perempuan,gabungan,34.95420916
Keluhan Kesehatan Masyarakat,Jawa Timur,2017,perempuan,gabungan,32.75354964
Keluhan Kesehatan Masyarakat,Banten,2017,perempuan,gabungan,28.76071188
Keluhan Kesehatan Masyarakat,Bali,2017,perempuan,gabungan,29.89468187
Keluhan Kesehatan Masyarakat,Nusa Tenggara Barat,2017,perempuan,gabungan,32.83763713
Keluhan Kesehatan Masyarakat,Nusa Tenggara Timur,2017,perempuan,gabungan,36.59287219
Keluhan Kesehatan Masyarakat,Kalimantan Barat,2017,perempuan,gabungan,25.39207047
Keluhan Kesehatan Masyarakat,Kalimantan Tengah,2017,perempuan,gabungan,26.79181744
Keluhan Kesehatan Masyarakat,Kalimantan Selatan,2017,perempuan,gabungan,34.91357118
Keluhan Kesehatan Masyarakat,Kalimantan Timur,2017,perempuan,gabungan,24.76544788
Keluhan Kesehatan Masyarakat,Kalimantan Utara,2017,perempuan,gabungan,29.04970646
Keluhan Kesehatan Masyarakat,Sulawesi Utara,2017,perempuan,gabungan,27.28973786
Keluhan Kesehatan Masyarakat,Sulawesi Tengah,2017,perempuan,gabungan,30.98525259
Keluhan Kesehatan Masyarakat,Sulawesi Selatan,2017,perempuan,gabungan,25.95874971
Keluhan Kesehatan Masyarakat,Sulawesi Tenggara,2017,perempuan,gabungan,24.91399465
Keluhan Kesehatan Masyarakat,Gorontalo,2017,perempuan,gabungan,34.98859663
Keluhan Kesehatan Masyarakat,Sulawesi Barat,2017,perempuan,gabungan,26.64968591
Keluhan Kesehatan Masyarakat,Maluku,2017,perempuan,gabungan,20.19325506
Keluhan Kesehatan Masyarakat,Maluku Utara,2017,perempuan,gabungan,16.73739089
Keluhan Kesehatan Masyarakat,Papua Barat,2017,perempuan,gabungan,22.56637347
Keluhan Kesehatan Masyarakat,Papua,2017,perempuan,gabungan,16.4586207
Keluhan Kesehatan Masyarakat,INDONESIA,2017,perempuan,gabungan,29.81505358
Keluhan Kesehatan Masyarakat,Aceh,2018,laki_laki,perkotaan,24.71158488
Keluhan Kesehatan Masyarakat,Sumatera Utara,2018,laki_laki,perkotaan,23.00213833
Keluhan Kesehatan Masyarakat,Sumatera Barat,2018,laki_laki,perkotaan,27.53845579
Keluhan Kesehatan Masyarakat,Riau,2018,laki_laki,perkotaan,27.00179779
